Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY
2010-01-04,85.51563262939453,85.56090510002426,84.1423120366691,84.79124431468594,118944600
2010-01-05,85.74201202392578,85.77974292570069,85.15344680057224,85.4628240757299,111579900
2010-01-06,85.80238342285156,86.0136626666524,85.59110417905073,85.65901289730344,116074400
2010-01-07,86.16458129882812,86.27022092167812,85.40246194232951,85.64392475983342,131091100
2010-01-08,86.45133209228516,86.48906300303541,85.7646744206744,85.93822279349669,126402800
2010-01-11,86.57201385498047,86.87383793007112,86.20226957622157,86.8361127991474,106375700
2010-01-12,85.76467895507812,86.17969021062918,85.43266534509407,85.99859449469652,163333500
2010-01-13,86.48902130126953,86.73048404563225,85.545806556583,85.98345382285385,161822000
2010-01-14,86.72293853759766,86.88139792720277,86.33810530174176,86.39092509827681,115718800
2010-01-15,85.74954223632812,86.65502612887848,85.41752878916078,86.57202852401284,212283100
2010-01-19,86.82103729248047,86.873857092965,85.7118157253788,85.73445771723772,139172700
2010-01-20,85.93818664550781,86.3607450349131,85.25152926272423,86.23246920340453,216490200
2010-01-21,84.2856674194336,86.22491670738452,84.18002782841104,85.96081772982816,344859600
2010-01-22,82.40679931640625,84.31586536735463,82.31624861282687,83.90839583663778,345942400
2010-01-25,82.82935333251953,83.3122846355784,82.55771275013093,83.16136680433293,186937500
2010-01-26,82.48223114013672,83.35753708029304,82.27849931305909,82.50486737015366,211168800
2010-01-27,82.8746337890625,83.06327676549745,81.74277593045284,82.3766135679494,271863600
2010-01-28,81.92387390136719,83.19155496927125,81.4258594230443,83.14628249585834,316104000
2010-01-29,81.03348541259766,82.85200666883925,80.90520955617069,82.27853034544046,310677600
2010-02-01,82.29364776611328,82.30119510055566,81.11651689799696,81.6069900120219,187865000
2010-02-02,83.28966522216797,83.44812467023746,82.15780708716169,82.44454816579731,216327900
2010-02-03,82.8746337890625,83.36510667917872,82.63317100950285,82.91235893019343,172730700
2010-02-04,80.31664276123047,82.2709814107224,80.30154809786997,82.23325626617574,356715700
2010-02-05,80.482666015625,80.64866704812972,78.91315460616559,80.40720419720738,493585800
2010-02-08,79.9016342163086,80.98821981463736,79.84126707041747,80.54301930985014,224166900
